epoch,step,min,max,mean,std
1,5000,-0.00020188107737340033,0.00017443258548155427,1.7883253349282313e-06,2.8244372515473515e-05
2,10000,-0.00011064716818509623,0.00014997039397712797,1.4235619119062903e-06,1.4652827303507365e-05
3,15000,-0.0001510561560280621,0.0001349893573205918,-1.024822495310218e-06,1.282651282963343e-05
4,20000,-0.00021414033835753798,0.00018835868104360998,-1.7724159988574684e-06,1.6627645891276188e-05
5,25000,-0.00027530448278412223,0.00023050233721733093,1.1987882544417516e-06,2.121823126799427e-05
6,30000,-0.000169824663316831,0.00012495765986386687,-3.291129075932986e-07,1.1496404113131575e-05
7,35000,-0.00024494912941008806,0.000416098308051005,7.05758225194586e-07,1.8880178686231375e-05
8,40000,-0.00012910895748063922,0.00018281114171259105,1.4668102039649966e-06,1.251404046342941e-05
9,45000,-9.43595077842474e-05,8.487434388371184e-05,4.939326458952564e-07,7.331133019761182e-06
10,50000,-9.938345465343446e-05,9.868128836387768e-05,-1.3648411822941853e-06,8.79874005477177e-06
